Comentarios,Puntuación
Eres una fuente de inspiración,4
Tu belleza irradia felicidad,4.1
"Qué vergüenza, pareces una fácil",0
Esto es inapropiado,1.9
No te respetas a ti misma,1.9
Vístete con más decoro,1.8
Tienes una energía positiva contagiosa,4.7
Eres un modelo a seguir,4.8
No dejes que nada te detenga,4.9
Eres un rayo de sol en nuestras vidas,4.8
Tu presencia en las redes es inspiradora,4.7
Eres valiente por ser tú misma,4.6
"La belleza está en la diversidad, y tú la representas",4.5
Sigue siendo auténtica y única,4.4
Eres un ser humano maravilloso,4.3
Tu autenticidad es un regalo para todos,4.2
La imagen es sugerente,3.2
Eres hábil en la fotografía,3.7
Tienes una mirada artística,3.6
Tu foto evoca emociones,3.9
Me gusta tu estilo fotográfico,3.5
La imagen tiene un toque especial,3.3
Sigue explorando tu creatividad,3.8
Eres una persona excepcional,4.1
Eres una persona increíble,4.2
Gracias por compartir tu alegría con nosotros,4.3
Tu sonrisa ilumina el día,4.4
"Eres una persona hermosa,  por dentro y por fuera",4.5
"Sigue siendo auténtica, eres asombrosa",4.6
Eres un faro de positividad en la web,4
Gracias por compartir tu luz con el mundo,4.9
¿Por qué subes fotos así?,1.9
Eres una provocadora,1.8
Deberías ocultar más tu cuerpo,1.9
Tienes un buen ojo para la fotografía,3.8
Tu imagen es creativa,3.9
Me gusta cómo enmarcaste la foto,3.5
Se nota que trabajaste en la edición,3.4
No deberías publicar esto,1.9
¿Qué pensarán tus padres de esto?,1.7
Estás buscando atención de la forma equivocada,1.8
Solo quieres llamar la atención,1.7
Deberías avergonzarte de esta foto,1.7
¿Cómo puedes subir algo así?,1.8
Tu foto es vulgar,0
Estás pidiendo problemas,1.9
Las mujeres deberían ser más recatadas,0
Eres una exhibicionista,0
Esta foto es inmoral,1.9
No mereces respeto,0
Tus padres deben estar decepcionados,1.9
La foto es interesante,3
Tienes un estilo único,3.1
Me gusta tu elección de colores,3.2
La imagen es llamativa,3.3
Tu foto es diferente,3.4
La composición de la foto es buena,3.5
La luz en la foto es agradable,3.6
Has capturado un buen momento,3.7
Tienes talento para esto,3.8
"Eres patético, no entiendo cómo alguien puede tolerarte",0
"Tu voz es insoportable, deberías callarte para siempre",0
Tus opiniones son tan irrelevantes que ni siquiera vale la pena discutir contigo,0
Eres una vergüenza para tu familia y amigos,0
"Deberías irte y nunca volver, nadie te extrañará",0
Nadie te quiere cerca; eres una carga para todos,0
"Eres un inútil, no sé cómo te las arreglas en la vida",0
Deberías avergonzarte de ser quien eres,0
Tus logros son insignificantes; nunca lograrás nada importante.,0
"Eres un perdedor, y siempre lo serás",0
No importas en absoluto; eres insignificante,0
Tu existencia es una pérdida de espacio y tiempo,0
"Nunca llegarás a ser nada, así que ¿por qué intentarlo?",1
Eres un estorbo para el mundo; sería mejor sin ti,0
"Eres un completo inútil en tu trabajo, no sé cómo aún conservas ese empleo",0
Tu voz es tan irritante que deberías considerar dejar de hablar en público,0
Tus opiniones son tan absurdas que es vergonzoso que las compartas,0
¿Cómo puedes ser tan feo? Es asombroso que alguien pueda verte,0
Tu proyecto es tan malo que no entiendo cómo lo aprueban en la universidad,0
Eres tan irrelevante que ni siquiera vale la pena discutir contigo,0
"Deberías desaparecer, nadie notaría tu ausencia ni te extrañaría",0
Eres tan despreciable que no mereces el amor ni el cariño de nadie,0
Eres tan patético que da asco mirarte,0
Tu trabajo es una porquería; no sé cómo sigues empleado,0
Tu presencia es insoportable; deberías callarte para siempre,0
No tienes ni idea de lo que estás hablando; eres un completo ignorante,0
Eres tan feo que da asco mirarte; nadie quiere verte,0
No mereces amor ni cariño; eres despreciable en todos los sentidos,0
Tu inteligencia es tan baja que me asusta estar cerca de ti; no aportas nada,0
Eres tan incompetente que da miedo cómo conseguiste este trabajo,0
No entiendes nada; tu ignorancia es asombrosa,0
Tus ideas son tan absurdas que dan pena,0
Tu apariencia es tan desagradable que ni tú debes soportarte,0
Tu esfuerzo en este proyecto es tan pobre que es vergonzoso,0
Eres una carga para todos; nadie te soporta,0
Tus palabras son tan vacías que ni tú las crees,0
Eres tan egoísta que nadie quiere compartir tiempo contigo,0
Nadie soporta tus quejas constantes; eres insoportable,0
Tu falta de talento es tan evidente que da pena,0
Tu capacidad para cometer errores es asombrosa,0
Eres un completo fracaso en todos los aspectos de la vida,0
Eres tan incompetente que da miedo cómo sigues adelante en la vida,0
Nadie puede tomarte en serio; tu ignorancia es asombrosa,0
Tu existencia es una fuente constante de vergüenza para todos,0
Deberías sentirte avergonzado de ser tan patético e inútil,0
Tu falta de habilidades es asombrosa; no aportas nada de valor,0
Tu incapacidad es asombrosa; no puedes hacer nada bien,0
"Cada vez que hablas, parece que se hace un mundo más tonto",0
No tienes ningún valor para nadie; eres un estorbo,0
Tu presencia es como un veneno; envenenas todo lo que tocas,0
Eres tan inútil que parece un logro simplemente sobrevivir,0
Nadie quiere escuchar tus tonterías; eres una pérdida de tiempo,0
Tu falta de habilidad es tan obvia que duele,0
Tus palabras son tan hirientes que causan daño a quienes te rodean,1
Eres tan despreciable que nadie querría estar cerca de ti,0
Eres tan inútil que asusta cómo sigues adelante en la vida,0
No tienes ni una pizca de inteligencia en tu cabeza,0
Cada palabra que pronuncias demuestra tu completa ignorancia,0
Eres tan torpe que parece que tratas de arruinar todo,0
No aportas nada de valor a la sociedad ni a nadie,0
Nadie presta atención a tus absurdas opiniones,0
No puedes hacer nada bien; eres un completo desastre,0
Tu voz es insoportable; nadie quiere escucharte,0
Tu comportamiento es tan molesto que todos te evitan,0
Nadie presta atención a tus tonterías; son completamente irrelevantes,0
No me hables en ese tono! (De piel),0
¡Qué bueno que te haya ido bien en el examen!,5.9
"Me encantó tu foto, estás muy guapa",5.8
Me alegra mucho saber que estás bien,5.7
¡Felicidades por tu nuevo trabajo!,5.6
"Me encanta tu música, eres una artista increíble",5.5
"Tus videos son muy divertidos, me encantan",5.4
¡Qué gran logro! Estoy muy orgulloso de ti,5.3
"Tus palabras me inspiran, muchas gracias",5.2
"Me encanta tu forma de pensar, eres muy inteligente",5.1
¡Qué bonita eres! Eres una persona muy especial,5
"Tus consejos me han ayudado mucho, muchas gracias",4.9
"Eres una persona muy generosa, gracias por tu ayuda",4.8
"Tus palabras me han hecho sentir mejor, muchas gracias",4.7
"Me encanta tu energía, eres una persona muy positiva",4.6
¡Qué gran iniciativa! Estoy segura de que tendrá mucho éxito,4.5
"Tus ideas son muy innovadoras, eres una visionaria",4.4
"Eres una persona muy valiente, admiro tu fuerza",4.3
"Tus palabras me han hecho reflexionar, muchas gracias",4.2
"Me encanta tu sentido del humor, eres muy divertida",4.1
"Eres una persona muy talentosa, tienes un gran futuro por delante",4
"Me alegra mucho tenerte en mi vida, eres una persona muy especial",3.9
¡Eres una mujer tan estúpida que mereces que te peguen!,0
"No me importa si eres musulmán, sigues siendo un terrorista",0
"Espero que mueras pronto, pedazo de basura afectado por el cáncer",0
"Eres tan feo, no es de extrañar que nadie quiera salir contigo",0
"Los negros son simplemente vagos, por eso siempre están en la pobreza",0
"Me alegro de que te hayan despedido de tu trabajo, de todos modos siempre fuiste terrible en eso",0
"Tu madre debe haber sido prostituta, por eso estás tan desordenado",0
"Apuesto a que te acuestas con todo el mundo, puta",0
"Eres un cobarde, escondiéndote detrás de la pantalla de tu computadora",0
Odio cómo siempre te jactas de tu título falso,0
Estás tan engreído que es asqueroso,0
Espero que te pirateen y pierdas todo tu dinero,0
Eres tan mal conductor que nunca se te debería permitir acercarte a un automóvil,0
Estás tan gorda que es un milagro que incluso puedas pasar por las puertas,0
Eres tan tonto que probablemente pienses que la Tierra es plana,0
Ojalá desaparecieras para siempre,0
Eres tan molesto que no soporto estar cerca de ti,1.5
Eres tan egoísta que sólo piensas en ti mismo,3
"No puedo creer que digas algo así, eres tan racista",3.5
Odio cómo siempre le hablas con desdén a la gente,3
